key,key:inventor,ticker,name,description,startMoment,endMoment,moreInfo,draftMode
invention-01,inventor-01,"AB01-ENERG1","Solar Battery Pack","Industrial solar battery pack to store renewable energy","2026/04/15 10:00","2026/10/15 10:00","https://example.com/product1",false

invention-02,inventor-01,"AB01-ENERG","Solar Battery Pack","Industrial solar battery pack to store renewable energy","2026/04/15 10:00","2026/10/15 10:00","https://example.com/product1",false
invention-03,inventor-01,"AB01-111111","Solar Battery Pack","Industrial solar battery pack to store renewable energy","2026/04/15 10:00","2026/10/15 10:00","https://example.com/product1",false
invention-04,inventor-01,"EF03-AAAAAAAA","Solar Battery Pack","Industrial solar battery pack to store renewable energy","2026/04/15 10:00","2026/10/15 10:00","https://example.com/product1",true
invention-05,inventor-01,"EF03-PO6ER37Y0","Solar Battery Pack","Industrial solar battery pack to store renewable energy","2026/04/15 10:00","2026/10/15 10:00","https://example.com/product1",true
invention-06,inventor-01,"EF03-PO6ER37Y0A","Solar Battery Pack","Industrial solar battery pack to store renewable energy","2026/04/15 10:00","2026/10/15 10:00","https://example.com/product1",true

invention-07,inventor-01,"AB01-ENERG2","S","Industrial solar battery pack to store renewable energy","2026/04/15 10:00","2026/10/15 10:00","https://example.com/product1",true
invention-08,inventor-01,"AB01-ENERG3","So","Industrial solar battery pack to store renewable energy","2026/04/15 10:00","2026/10/15 10:00","https://example.com/product1",true
invention-09,inventor-01,"AB01-ENERG4","Solar Battery Pack: Efficient energy storage for modern urban environments","Industrial solar battery pack to store renewable energy","2026/04/15 10:00","2026/10/15 10:00","https://example.com/product1",true
invention-10,inventor-01,"AB01-ENERG5","Solar Battery Pack: Efficient energy storage for modern urban environments.","Industrial solar battery pack to store renewable energy","2026/04/15 10:00","2026/10/15 10:00","https://example.com/product1",true
invention-11,inventor-01,"AB01-ENERG6","aaaa โลเร็ม อิปซัม 洛伦·伊普森 لوريم إيبسوم","Industrial solar battery pack to store renewable energy","2026/04/15 10:00","2026/10/15 10:00","https://example.com/product1",true
invention-12,inventor-01,"AB01-ENERG7","<marquee>Hac</marquee> <script>al('Hacked!');</script> ' or 'A' = 'A","Industrial solar battery pack to store renewable energy","2026/04/15 10:00","2026/10/15 10:00","https://example.com/product1",true

invention-13,inventor-01,"AB01-ENERG8","Solar Battery Pack","I","2026/04/15 10:00","2026/10/15 10:00","https://example.com/product1",true
invention-14,inventor-01,"AB01-ENERG9","Solar Battery Pack","In","2026/04/15 10:00","2026/10/15 10:00","https://example.com/product1",true
